Competitive  Exams, Current Affairs, October 2020 (Part-II), Section 5
Competitive  Exams, Current Affairs, September 2019 (Part-I), Section 1
Competitive  Exams, Current Affairs, September 2019 (Part-I), Section 2
Competitive  Exams, Current Affairs, September 2019 (Part-I), Section 3
Competitive  Exams, Current Affairs, September 2019 (Part-I), Section 4
Competitive  Exams, Current Affairs, September 2019 (Part-I), Section 5
Competitive  Exams, Current Affairs, September 2019 (Part-II), Section 1
Competitive  Exams, Current Affairs, September 2019 (Part-II), Section 2
Competitive  Exams, Current Affairs, September 2019 (Part-II), Section 3
Competitive  Exams, Current Affairs, September 2019 (Part-II), Section 4
Competitive  Exams, Current Affairs, September 2019 (Part-II), Section 5
Competitive  Exams, Current Affairs, September 2020 (Part-I), Section 1
Competitive  Exams, Current Affairs, September 2020 (Part-I), Section 2
Competitive  Exams, Current Affairs, September 2020 (Part-I), Section 3
Competitive  Exams, Current Affairs, September 2020 (Part-I), Section 4
Competitive  Exams, Current Affairs, September 2020 (Part-I), Section 5
Competitive  Exams, Current Affairs, September 2020 (Part-II), Section 1
Competitive  Exams, Current Affairs, September 2020 (Part-II), Section 2
Competitive  Exams, Current Affairs, September 2020 (Part-II), Section 3
Competitive  Exams, Current Affairs, September 2020 (Part-II), Section 4
Competitive  Exams, Current Affairs, September 2020 (Part-II), Section 5
